1,154.2,226.7,31.657,77.213,111.33
1,492.73,-7.3143,149.47,364.57,44.257
1,271.75,207,20.5,50,28.784
2,147.79,227.37,34.526,84.211,123.74
2,463.64,-7.3143,149.47,364.57,25.781
3,147.79,227.37,34.526,84.211,111.81
3,543.95,242.93,22.321,54.443,20.13
4,147.79,227.37,34.526,84.211,118.17
4,492.73,-7.3143,149.47,364.57,82.936
5,138.51,217.6,37.486,91.429,64.842
5,39.5,214,41,100,28.41
5,488.51,-6.7368,138.93,338.85,22.674
6,138.51,217.6,37.486,91.429,79.842
6,36.114,210.29,37.486,91.429,33.556
6,260.95,203.71,22.321,54.443,23.715
7,492.73,-7.3143,149.47,364.57,72.043
7,141.05,227.37,34.526,84.211,61.357
7,275.75,203,20.5,50,23.235
8,141.05,227.37,34.526,84.211,56.303
8,492.73,-7.3143,149.47,364.57,46.365
8,33.263,213.89,34.526,84.211,40.655
9,134.32,227.37,34.526,84.211,80.247
9,28.8,210.29,37.486,91.429,52.569
9,492.73,-7.3143,149.47,364.57,48.437
9,467.97,263.8,26.654,65.011,27.914
10,131.2,224.91,37.486,91.429,83.702
10,28.8,210.29,37.486,91.429,62.039
10,595.62,164.1,44.897,109.5,42.721
10,475.4,264.49,29.012,70.761,21.348
10,577.69,206.65,63.145,154.01,16.714
